itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
aj1 薄荷糖,42.5,1035,95新,配件齐全,,售出,28760,#VALUE!,891.65 ,32.05%,9月7日,2023/11/21,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,1800,9新,配件丢失,鞋带丢失,售出,50550,#VALUE!,189.49 ,37.67%,9月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 汤达人,42.5,1200,95新,,,未售出,,#VALUE!,3091.60 ,0.00%,9月8日,,,,闲鱼,,,,,,,,,,,,,,,,,,,,,,,
aj1 扣碎 1.0,44.5,1700,9新,配件齐全,,售出,66500,#VALUE!,625.47 ,93.62%,9月10日,2024/1/21,,,闲鱼,MERUCARI,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42.5,3960,全新,配件齐全,,售出,111600,#VALUE!,737.01 ,41.20%,9月11日,2023/10/31,,,95分,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,40,700,9新,配件齐全,,售出,30620,#VALUE!,331.76 ,108.80%,9月12日,2023/11/26,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 13,44,1700,9新,配件齐全,,售出,55800,#VALUE!,678.05 ,61.52%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 新秀,46,1000,9新,配件齐全,,售出,32085,#VALUE!,0.00 ,53.63%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,44,1300,9新,配件齐全,,售出,37200,#VALUE!,1591.50 ,38.25%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,43,3629,全新,配件齐全,,售出,105000,#VALUE!,1631.60 ,44.81%,9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,44.5,3700,全新,配件齐全,,售出,102300,#VALUE!,761.62 ,38.31%,9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 新秀,42,813,9新,配件齐全,,售出,32550,#VALUE!,1045.80 ,91.89%,9月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,44.5,1413,95新,配件齐全,,售出,48360,#VALUE!,536.34 ,67.47%,9月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,44,3763,全新,配件齐全,,售出,111500,#VALUE!,497.20 ,48.46%,9月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 turbo green,43,880,9新,配件齐全,,售出,32550,#VALUE!,1626.00 ,77.28%,9月25日,,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
aj1 蜘蛛侠 1.0,41,1200,9新,鞋盒丢失,,售出,28644,#VALUE!,1417.30 ,13.40%,9月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1禁穿 16,44.5,3600,全新,配件齐全,,未售出,,#VALUE!,747.05 ,0.00%,9月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,42.5,1200,9新,鞋盒丢失,海关,售出,21204,#VALUE!,953.36 ,-18.22%,9月27日,2024/7/25,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,36.5,1800,95新,配件齐全,,未售出,,#VALUE!,1823.50 ,0.00%,9月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,41,799,全新,配件齐全,,售出,27714,#VALUE!,680.05 ,64.38%,9月29日,2024/6/23,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42,824,全新,配件齐全,,售出,27900,#VALUE!,160.84 ,60.55%,9月29日,2024/2/22,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 爆裂纹,42.5,980,95新,配件齐全,,售出,33945,#VALUE!,0.00 ,66.45%,9月30日,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja1 白,42,619,全新,配件齐全,,售出,25134,#VALUE!,-218.60 ,90.93%,10月2日,2024/5/29,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 白,42.5,614,全新,配件齐全,,售出,23250,#VALUE!,0.00 ,76.83%,10月2日,2023/12/18,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 白,44.5,619,全新,配件齐全,,售出,18600,#VALUE!,514.41 ,37.09%,10月2日,2024/1/4,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb sod,45,4000,全新,配件齐全,海关黑牌,售出,111650,#VALUE!,498.90 ,39.85%,10月5日,2024/4/3,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,42.5,1000,8新,配件齐全,,售出,49290,#VALUE!,651.20 ,141.38%,10月5日,2024/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,
ja1 白,41,604,全新,配件齐全,,售出,22320,#VALUE!,562.83 ,71.91%,10月5日,2024/6/12,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 白,43,629,全新,配件齐全,,售出,20367,#VALUE!,471.75 ,49.24%,10月5日,2023/11/24,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42,839,全新,配件齐全,,售出,30689,#VALUE!,229.60 ,74.63%,10月5日,2024/2/13,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42.5,779,全新,配件齐全,,售出,26970,#VALUE!,1594.15 ,63.73%,10月5日,2023/10/29,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42.5,789,全新,配件齐全,,售出,22320,#VALUE!,1413.79 ,31.60%,10月5日,2023/12/18,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 石斑鱼,43,1012,95新,配件齐全,海关,未售出,,#VALUE!,434.32 ,0.00%,10月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,
