itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
dunk sb 滑板女郎,44.0,鞋子,9新,配件齐全,,售出,70680,,441.48,52.38%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 星巴克,44.0,鞋子,99新,配件齐全,,售出,100440,,0.0,70.25%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 芝加哥,42.0,鞋子,9新,配件齐全,,售出,32550,,0.0,30.00%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 芝加哥,44.0,鞋子,8新,配件齐全,,售出,18414,,0.0,-30.07%,8月11日,2024/8/15,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 jjjj,43.0,鞋子,95新,配件齐全,闲鱼,售出,85504,,1711.22,21.73%,8月11日,2024/4/2,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 元祖灰,41.0,鞋子,95新,配件齐全,,售出,36400,,1204.68,59.67%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992EA 黑武士,42.0,鞋子,8新,,,售出,34875,,2072.44,168.58%,8月12日,2023/11/30,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992EB 黑,44.0,鞋子,,,,售出,40920,,360.05,89.23%,8月12日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992EB 黑,43.0,鞋子,9新,,,售出,34540,,-360.89,66.15%,8月12日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 turbo green,42.0,鞋子,9新,,,售出,29760,,760.7,36.32%,8月13日,,,,,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 元祖灰,41.0,鞋子,95新,配件齐全,,售出,32360,,656.4,70.37%,8月13日,2024/4/14,,,95分,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb huf 旧金山,43.0,鞋子,95新,配件齐全,,售出,31620,,1053.63,51.26%,8月14日,2023/9/13,,,闲鱼,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 元祖灰,42.0,鞋子,9新,配件齐全,鞋盒破损,未售出,,,936.92,0.00%,8月14日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 黑蓝,45.0,鞋子,9新,配件齐全,,未售出,,,661.54,0.00%,8月16日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb mia,42.0,鞋子,,,,未售出,,,377.76,0.00%,8月16日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 黑红脚趾,43.0,鞋子,95新,配件丢失,,售出,29760,,640.36,18.15%,8月17日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 黑红脚趾,41.0,鞋子,9新,配件齐全,,未售出,,,512.62,0.00%,8月17日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 苏格兰,45.0,鞋子,9新,配件鞋盒丢失,无原鞋垫,未售出,,,0.0,0.00%,8月17日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 春丽,44.0,鞋子,9新,配件齐全,95,售出,80910,,0.0,54.86%,8月18日,2023/10/4,,,95分,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 春丽,40.0,鞋子,9新,配件齐全,,未售出,,,,,8月20日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 low zion,42.5,鞋子,9新,配件齐全,,售出,32550,,217.76,36.97%,8月21日,2023/10/17,,,,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 元祖灰,44.0,鞋子,9新,配件齐全,,售出,32364,,0.0,40.96%,8月21日,2024/7/26,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
ja1 粉,42.5,鞋子,全新,配件齐全,,售出,24180,,0.0,48.13%,8月23日,2023/10/5,,,,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992 元祖灰,41.0,鞋子,9新,配件齐全,,售出,,,1426.41,0.00%,8月24日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 灯芯绒,43.0,鞋子,8新,配件丢失,,售出,23250,,0.0,64.76%,8月29日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 白寡妇,44.0,鞋子,全新,配件齐全,,售出,57590,,421.05,102.65%,8月31日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 薄荷糖,42.5,鞋子,9新,,,售出,28760,,450.56,60.80%,9月1日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb born and raised,43.0,鞋子,95新,配件齐全,,售出,106150,,368.18,20.16%,9月2日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 禁穿 16,42.5,鞋子,9新,,,售出,39990,,-950.0,10.83%,9月3日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 情人节 2013,43.0,鞋子,全新,配件齐全,,售出,111600,,426.75,123.66%,9月3日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992EA 黑武士,42.5,鞋子,8新,配件齐全,鞋盒烂,售出,26970,,1437.09,221.09%,9月4日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 熊猫鸽子,42.0,鞋子,95新,,,售出,61510,,516.76,32.04%,9月5日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 薄荷糖,42.5,鞋子,95新,配件齐全,,售出,28760,,891.65,32.05%,9月7日,2023/11/21,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,44.0,鞋子,9新,配件丢失,鞋带丢失,售出,50550,,189.49,37.67%,9月8日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 汤达人,42.5,鞋子,95新,,,未售出,,,3091.6,0.00%,9月8日,,,,闲鱼,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 扣碎 1.0,44.5,鞋子,9新,配件齐全,,售出,66500,,625.47,93.62%,9月10日,2024/1/21,,,闲鱼,MERUCARI,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 熊猫鸽子,42.5,鞋子,全新,配件齐全,,售出,111600,,737.01,41.20%,9月11日,2023/10/31,,,95分,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 黑红脚趾,40.0,鞋子,9新,配件齐全,,售出,30620,,331.76,108.80%,9月12日,2023/11/26,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 禁穿 13,44.0,鞋子,9新,配件齐全,,售出,55800,,678.05,61.52%,9月12日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 新秀,46.0,鞋子,9新,配件齐全,,售出,32085,,0.0,53.63%,9月12日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
